8.98,-0.02,3.92
8.99,-0.04,3.97
8.97,-0.07,3.93
8.96,-0.1,3.96
9.03,-0.03,3.98
8.97,-0.05,3.95
8.98,-0.05,3.99
8.97,-0.05,3.97
8.97,-0.05,3.96
8.97,-0.05,3.98
8.96,-0.03,3.96
8.97,-0.07,3.96
8.96,-0.04,3.93
9.02,0,3.9
9.01,-0.07,3.95
8.96,-0.07,3.95
8.95,-0.03,3.95
8.96,-0.1,3.95
8.98,-0.02,3.99
8.95,-0.01,3.95
8.95,-0.05,3.95
8.98,-0.02,3.94
8.98,-0.08,3.99
8.95,-0.06,3.88
8.93,-0.02,3.97
8.96,-0.08,3.96
8.94,-0.08,3.96
8.94,-0.07,3.94
9,-0.06,3.92
8.99,-0.04,3.95
8.95,0.02,3.95
9.02,0.02,3.99
8.97,-0.1,3.93
8.96,-0.08,3.91
8.99,-0.06,3.93
8.96,-0.1,3.97
8.94,-0.04,3.93
8.98,-0.04,3.98
8.99,-0.02,3.93
8.99,-0.07,3.95
8.97,-0.08,3.92
8.97,-0.01,3.92
8.96,-0.08,3.94
8.96,-0.07,3.96
8.96,-0.07,3.94
9.03,-0.04,3.93
9.01,-0.02,3.94
8.97,-0.02,3.96
9,-0.02,3.94
8.95,-0.09,3.91
8.96,-0.04,3.95
8.94,-0.09,3.96
8.98,-0.05,3.96
8.99,-0.04,3.93
8.97,0,3.98
9.01,-0.03,3.91
9.02,-0.04,3.99
8.99,0,3.9
9.01,-0.06,3.99
9.02,-0.03,3.94
8.97,-0.06,4.01
8.98,-0.04,3.94
8.93,-0.05,3.9
9.01,-0.05,3.91
8.98,-0.03,3.91
8.95,0,3.98
8.96,-0.06,3.94
8.98,-0.04,3.95
8.99,0,4.01
8.98,-0.05,4
9.02,-0.06,3.94
8.96,-0.03,3.96
9,-0.08,3.91
8.96,-0.01,3.97
8.99,-0.06,3.95
8.98,-0.1,3.96
9,-0.03,3.92
8.98,-0.04,3.95
8.96,0.04,3.97
8.97,-0.06,3.95
8.94,-0.08,3.93
9,-0.02,3.93
8.95,-0.02,3.98
8.94,-0.01,3.94
8.99,-0.01,3.95
8.96,-0.05,3.96
8.95,-0.02,4
9,-0.03,4
8.94,-0.07,3.9
8.97,-0.03,3.94
8.94,-0.03,3.94
8.94,-0.06,3.94
8.95,-0.03,3.96
8.94,-0.02,3.97
8.99,-0.08,3.98
8.93,0.02,3.93
8.98,-0.07,3.96
8.97,-0.07,3.94
9.01,-0.02,3.95
8.95,-0.05,3.96
8.94,-0.09,3.97
8.97,0,3.99
